-----------------------------------------------------------------------
 | Scene # | Start Frame |  Start Time  |  End Frame  |   End Time   |
 |    252  |       17881 | 00:09:56.629 |       17926 | 00:09:58.131 |
 |    253  |       17926 | 00:09:58.131 |       18147 | 00:10:05.505 |
 |    254  |       18147 | 00:10:05.505 |       18242 | 00:10:08.675 |
 |    255  |       18242 | 00:10:08.675 |       18369 | 00:10:12.912 |
 |    256  |       18369 | 00:10:12.912 |       18473 | 00:10:16.382 |
 |    257  |       18473 | 00:10:16.382 |       18565 | 00:10:19.452 |
 |    258  |       18565 | 00:10:19.452 |       18640 | 00:10:21.955 |
 |    259  |       18640 | 00:10:21.955 |       18701 | 00:10:23.990 |
 |    260  |       18701 | 00:10:23.990 |       18719 | 00:10:24.591 |
 |    261  |       18719 | 00:10:24.591 |       18836 | 00:10:28.495 |
 |    262  |       18836 | 00:10:28.495 |       18914 | 00:10:31.097 |
 |    263  |       18914 | 00:10:31.097 |       18991 | 00:10:33.666 |
 |    264  |       18991 | 00:10:33.666 |       19130 | 00:10:38.304 |
 |    265  |       19130 | 00:10:38.304 |       19232 | 00:10:41.708 |
 |    266  |       19232 | 00:10:41.708 |       19325 | 00:10:44.811 |
 |    267  |       19325 | 00:10:44.811 |       19396 | 00:10:47.180 |
 |    268  |       19396 | 00:10:47.180 |       19450 | 00:10:48.982 |
 |    269  |       19450 | 00:10:48.982 |       19563 | 00:10:52.752 |
 |    270  |       19563 | 00:10:52.752 |       19608 | 00:10:54.254 |
 |    271  |       19608 | 00:10:54.254 |       19865 | 00:11:02.829 |
 |    272  |       19865 | 00:11:02.829 |       19948 | 00:11:05.598 |
 |    273  |       19948 | 00:11:05.598 |       19976 | 00:11:06.533 |
 |    274  |       19976 | 00:11:06.533 |       20095 | 00:11:10.503 |
 |    275  |       20095 | 00:11:10.503 |       20244 | 00:11:15.475 |
 |    276  |       20244 | 00:11:15.475 |       20449 | 00:11:22.315 |
 |    277  |       20449 | 00:11:22.315 |       20539 | 00:11:25.318 |
 |    278  |       20539 | 00:11:25.318 |       20599 | 00:11:27.320 |
 |    279  |       20599 | 00:11:27.320 |       20853 | 00:11:35.795 |
 |    280  |       20853 | 00:11:35.795 |       20904 | 00:11:37.497 |
 |    281  |       20904 | 00:11:37.497 |       21088 | 00:11:43.636 |
 |    282  |       21088 | 00:11:43.636 |       21161 | 00:11:46.072 |
 |    283  |       21161 | 00:11:46.072 |       21246 | 00:11:48.908 |
 |    284  |       21246 | 00:11:48.908 |       21309 | 00:11:51.010 |
 |    285  |       21309 | 00:11:51.010 |       21468 | 00:11:56.316 |
 |    286  |       21468 | 00:11:56.316 |       21528 | 00:11:58.318 |
 |    287  |       21528 | 00:11:58.318 |       21596 | 00:12:00.587 |
 |    288  |       21596 | 00:12:00.587 |       21679 | 00:12:03.356 |
 |    289  |       21679 | 00:12:03.356 |       21797 | 00:12:07.293 |
 |    290  |       21797 | 00:12:07.293 |       21846 | 00:12:08.928 |
 |    291  |       21846 | 00:12:08.928 |       21911 | 00:12:11.097 |
